City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
chokurdakh,12,RU,1521441114,30,70.62,147.9,-20.54,3.94
kruisfontein,76,ZA,1521441114,91,-34.0,24.73,66.94,18.03
butaritari,36,KI,1521441115,100,3.07,172.79,83.14,7.85
hobart,75,AU,1521438240,42,-42.88,147.33,62.6,18.34
bluff,0,AU,1521441116,42,-23.58,149.07,91.42,9.08
ossora,8,RU,1521441116,82,59.24,163.07,7.81,8.97
port blair,0,IN,1521441117,100,11.67,92.75,83.14,9.19
norman wells,90,CA,1521439200,92,65.28,-126.83,12.2,4.7
auki,8,NG,1521441118,58,12.18,6.51,61.54,2.71
hilo,90,US,1521439200,88,19.71,-155.08,73.4,5.82
pangai,20,TO,1521435600,74,-19.8,-174.35,82.4,5.82
antalaha,8,MG,1521441119,96,-14.9,50.28,81.7,10.65
champerico,5,MX,1521438000,56,16.38,-93.6,73.4,1.25
atuona,80,PF,1521441120,99,-9.8,-139.03,82.06,20.6
manaure,12,CO,1521441120,98,11.78,-72.45,77.74,19.82
cacapava do sul,44,BR,1521441121,92,-30.51,-53.49,62.89,12.77
calabozo,0,VE,1521441121,54,8.92,-67.43,77.74,13.44
santo domingo,40,DO,1521439200,94,18.48,-69.94,69.8,2.15
georgetown,0,GY,1521435600,94,6.8,-58.16,69.8,4.61
torbay,90,CA,1521439200,86,47.66,-52.73,28.4,25.28
weinan,90,CN,1521439200,87,34.5,109.46,51.8,4.47
new norfolk,75,AU,1521438240,42,-42.78,147.06,62.6,18.34
ribeira grande,76,PT,1521441125,96,38.52,-28.7,63.16,11.77
florence,75,US,1521440100,81,34.8,-87.68,53.6,4.7
hermanus,76,ZA,1521441126,96,-34.42,19.24,60.19,3.6
mataura,80,NZ,1521441126,60,-46.19,168.86,71.89,20.71
pavino,0,RU,1521439200,98,55.02,82.61,32.0,20.13
severo-kurilsk,88,RU,1521441127,100,50.68,156.12,25.99,11.77
cape town,20,ZA,1521439200,77,-33.93,18.42,66.2,13.87
ushuaia,40,AR,1521439200,100,-54.81,-68.31,35.6,14.99
zyryanka,64,RU,1521441128,35,65.73,150.89,-9.56,7.96
castro,92,CL,1521441129,98,-42.48,-73.76,52.72,5.5
miles city,90,US,1521439320,92,46.41,-105.84,30.2,9.17
labuan,75,BN,1521439200,79,5.28,115.24,87.8,3.36
salalah,0,OM,1521438600,65,17.01,54.1,80.6,5.82
tigzirt,92,DZ,1521441131,100,36.57,4.2,42.82,4.72
mehamn,90,NO,1521438600,92,71.03,27.85,26.6,29.97
pisco,0,PE,1521439200,77,-13.71,-76.2,69.8,2.71
hambantota,20,LK,1521441132,93,6.12,81.12,85.3,10.09
pevek,36,RU,1521441132,74,69.7,170.27,-11.0,7.52
east london,0,ZA,1521440160,73,-33.02,27.91,69.8,9.17
barrow,0,AR,1521441134,86,-38.31,-60.23,50.11,10.31
qaanaaq,0,GL,1521441134,58,77.48,-69.36,-20.36,8.75
punta arenas,0,CL,1521439200,74,-53.16,-70.91,35.6,11.41
fayetteville,90,US,1521439500,100,36.06,-94.16,53.6,8.05
qasigiannguit,0,GL,1521438600,85,68.82,-51.19,15.8,3.36
palmas,24,BR,1521441136,96,-10.18,-48.33,71.8,2.71
tessalit,8,ML,1521441136,21,20.2,1.01,51.64,8.19
shelbyville,1,US,1521438900,93,39.41,-88.79,39.2,9.19
maragogi,100,BR,1521441137,94,-9.01,-35.22,75.58,3.6
rikitea,56,PF,1521441138,100,-23.12,-134.97,79.63,17.92
